868.8	34.8	1.25	0.6	0.69	-58.6
876.9	35.1	1.26	0.7	0.55	-44.7
884.3	35.4	1.06	-0.7	0	10
898.5	36	1.64	3.2	0.88	-77.8
905.6	36.3	1.36	1.3	0.43	-33.1
910.4	36.5	1.35	1.3	0.44	-34.3
912.7	36.6	1.45	1.9	0.48	-38.4
917.5	36.8	1.24	0.5	0.33	-22.6
926.6	37.2	1.08	-0.5	-0.3	40.2
930.7	37.4	1.07	-0.6	0.05	4.9
934.9	37.6	1.16	0	-0.03	13.4
937	37.7	1.29	0.9	0.07	2.8
941.1	37.9	1.19	0.2	-0.24	34.4
943.2	38	1.46	2	0.02	8.3
947.3	38.2	1.44	1.9	0	10.5
949.4	38.3	1.45	1.9	-0.11	21.3
955.6	38.6	1.52	2.4	-0.02	11.8
962.3	38.9	1.36	1.4	0.66	-55.8
967	39.1	1.31	1	0.33	-23
969.4	39.2	1.41	1.6	0.48	-37.7
974.1	39.4	1.39	1.5	0.28	-18.5
976.5	39.5	1.37	1.4	0.21	-10.6
981.2	39.7	1.36	1.3	0.21	-11.5
983.6	39.8	1.42	1.7	0.45	-34.6
988.3	40	1.24	0.6	0.21	-10.9
990.7	40.1	1.2	0.3	0.01	8.8
995.2	40.3	1.57	2.7	0.41	-30.9
1001.4	40.6	1.5	2.2	0.3	-19.5
