%LR04age	RedSea
60.2348	-96.62
60.424	-97.93
60.6118	-97.19
60.7624	-94.42
60.7636	-99.9
60.7997	-100.37
60.9888	-99.86
61.1767	-97.34
61.3297	-95.4
61.3658	-84.61
61.5537	-94.32
61.7428	-83.69
61.8984	-89.83
61.8996	-95.7
61.9307	-79.35
62.1198	-94.32
62.3077	-93.43
62.467	-87.19
62.4682	-95.5
62.4956	-83.15
62.6847	-78.95
62.8726	-88.4
63.0356	-90.73
63.0368	-96.9
63.6042	-98.98
63.6054	-97.04
64.1715	-95.74
64.1728	-96.79
64.5983	-92.51
64.5995	-92.52
65.3087	-84.49
65.31	-89.38
65.5265	-81.76
65.8585	-76.17
65.8593	-84.13
66.2192	-76.8
66.22	-82.51
66.3394	-81.03
67.0075	-68.94
67.0083	-77.21
67.6677	-48
67.8978	-58.51
67.8986	-71.54
68.7881	-53.43
68.7888	-69.38
69.4999	-71.13
69.6783	-61.52
69.6799	-76.65
70.7907	-69.39
71.0137	-45.53
71.0153	-67.57
71.3322	-33.59
71.904	-47.95
71.9056	-57.94
72.7942	-40.7
72.7958	-58.51
73.4703	-68.72
73.6845	-39.62
73.6853	-64.89
74.0126	-42.32
74.0134	-62.52
74.5194	-49.73
74.5204	-59.97
75.0659	-46.29
75.0669	-52.8
75.9746	-29.73
75.9766	-48.48
77.0695	-30.44
77.0715	-51.73
78.3531	-35.08
78.3555	-47.69
79.7217	-42.09
79.7242	-35.465
80.9485	-40.72
81.2595	-29.15
81.262	-41.57
82.7929	-25.95
82.7949	-30.61
83.0656	-39.43
83.7505	-44.16
84.0232	-47.07
84.1605	-37.46
84.2959	-25.42
84.7657	-28.4
85.1579	-32.46
85.7044	-56.74
85.9781	-57.24
86.2588	-73.78
86.4413	-49.1
86.574	-78.46
86.7147	-79.01
86.8514	-65.64
87.0995	-62.28
87.1427	-77.53
87.5787	-74.35
87.7532	-62.22
88.0153	-62.15
88.1852	-44.63
88.2593	-61.76
88.4211	-58.15
88.5388	-47.33
88.5782	-47
88.8135	-56.14
88.9706	-45.93
89.0512	-51.09
89.2059	-55.77
89.363	-47.94
89.5983	-58.44
89.7553	-50.68
89.9906	-57.7
90.1083	-54.96
90.1477	-44.89
90.383	-56.82
90.4965	-47.16
90.5401	-47.31
90.7754	-56.3
90.9325	-46.5
91.1684	-55.69
91.3248	-40.38
91.6072	-52.56
91.7542	-40.06
91.8035	-31.85
92.0752	-52.92
92.0976	-53.77
92.294	-36.47
92.5881	-53.07
92.7845	-34.33
93.0786	-49.02
93.2749	-29.48
93.5414	-41.59
93.569	-49.1
93.7161	-36.24
93.7654	-28.71
94.0595	-44.08
94.2559	-31.87
94.5507	-42.41
94.7951	-31.99
95.1883	-43.53
95.3535	-30.79
95.4491	-31.31
95.884	-38.83
96.1291	-39.91
96.3494	-16.35
97.6695	-38.52
98.5504	-10.79
99.8705	-35.49
100.751	-16.12
101.664	-49.54
101.746	-41.83
102.025	-17.9
102.447	-46.32
102.657	-29.54
102.726	-23.62
103.147	-31.76
103.503	-10.53
103.922	-37.37
104.063	-29.84
104.437	-0.27
104.997	-35.3
105.371	-34.6
105.931	-55.24
106.211	-37.69
106.306	-47.32
106.688	-53.77
106.866	-69.33
107.264	-45.37
107.84	-63.25
108.269	-28.74
108.857	-37.44
108.912	-53.85
109.341	-25.66
109.985	-49.65
110.307	-33.22
110.414	-28.44
110.436	-43.44
111.057	-45.76
111.486	-27.04
111.488	-26.76
112.131	-44.68
112.559	-25.74
113.138	-47.16
113.481	-16.85
113.567	-34.79
113.987	-42.04
114.193	-32.53
114.261	-18.36
114.389	-42.87
114.673	-35.12
114.948	-22.32
115.359	-31.89
115.634	-21.18
116.046	-25.93
116.238	-44.79
116.321	-11.58
116.732	-30.27
116.939	-16.53
117.007	-14.44
117.419	-22.06
117.694	-9.81
117.902	-9.33
118.106	-17.16
118.348	4.52
118.657	-21.97
118.854	-9.72
118.863	-9.64
119.172	-14.6
119.172	-20.66
119.275	-1.8
119.326	-7.62
119.378	-8.74
119.48	-4.12
119.584	0.83
119.686	-6.96
119.687	-20.09
119.719	-15.64
119.79	8.65
119.892	0.62
119.936	1.33
119.996	4.09
120.098	2.96
120.152	-6.43
120.201	6.96
120.202	-16.19
120.26	3.15
120.368	-9.77
120.407	-0.28
120.51	-1.31
120.585	-7.19
120.717	-11.13
120.801	-2.39
121.018	2.03
121.231	-5.45
121.234	8.56
121.45	-2.04
121.687	-2.78
121.928	5.29
122.168	9.97
122.409	8.53
122.529	17.61
122.649	13.83
122.889	1.24
123.129	-1.72
123.37	8.5
123.61	13.1
124.048	-4.7
124.273	-10.99
124.449	-1.56
124.498	-1.01
124.949	-12.84
125.4	-12.85
125.48	-41.25
125.677	5.82
125.851	-15.06
125.873	-24.89
126.07	-14.84
126.268	-15.18
126.464	19.87
126.466	-33.41
126.494	-19.46
126.661	-12.98
126.752	-23.79
126.857	-47.76
127.394	-34.97
127.447	-57.29
127.742	-67.04
127.84	-67.03
127.927	-39.66
128.431	-71.12
128.463	-50.1
128.825	-71.25
128.996	-54.26
129.07	-74.66
129.11	-74.49
129.141	-70.8
129.216	-75.25
129.284	-74.9
129.373	-80.09
129.426	-73.8
129.569	-71.99
129.635	-67.78
129.721	-69.17
129.725	-81.18
129.958	-71.55
130.031	-78.66
130.195	-74.51
130.433	-77.33
130.468	-81.67
130.67	-45.26
130.789	-95.13
130.905	-82.98
130.907	-48.69
131.145	-59.18
131.369	-34.44
131.867	-94.08
132.115	-77.37
132.301	-89.27
132.862	-91.57
132.987	-96.06
133.111	-94.86
133.366	-93.32
133.625	-97.98
134.348	-99.66
136.504	-91.11
137.012	-95.39
138.66	-88.06
139.46	-98.11
140.816	-86.36
141.598	-96.67
141.679	-96.04
142.972	-86.55
143.736	-78.32
145.128	-82.76
145.991	-89.89
146.179	-82.6
147.287	-88.1
148.616	-84.17
149.437	-83.89
149.867	-89.64
150.012	-89.74
150.299	-85.91
150.588	-82.23
150.874	-91.63
150.876	-84.6
150.912	-91.56
151.161	-80.98
151.45	-92.71
151.923	-90.59
152.025	-93.8
152.312	-82.55
152.6	-80.86
152.887	-88.53
153.337	-94.07
153.462	-89.42
153.743	-82.22
153.744	-86.84
153.959	-89.01
154.174	-93.25
154.282	-86.15
154.606	-88.54
154.822	-94.67
155.397	-88.19
155.9	-93.72
156.75	-93.5
156.969	-97.02
157.516	-99.29
157.668	-97.22
158.146	-84.71
158.254	-88.93
158.505	-86.32
159.02	-84.71
159.21	-88.93
159.645	-86.32
159.898	-85.72
160.227	-79.85
160.346	-70.79
160.602	-88.93
160.683	-93.11
160.972	-92.73
161.086	-90.88
161.347	-90.51
161.693	-73.35
161.717	-85.19
162.092	-74.87
162.116	-84.7
162.497	-89.52
162.585	-74.35
162.639	-92.19
162.965	-85.76
163.442	-83.3
163.744	-67.22
164.144	-87.99
164.847	-91.65
165.051	-77.49
165.54	-80.72
165.604	-61.36
166.244	-71.7
166.912	-63.29
167.042	-66.81
167.923	-66.34
168.141	-72.04
168.54	-61.84
168.664	-58.82
169.413	-57.13
169.518	-46.33
170.153	-50.66
170.903	-52.57
170.97	-56.47
171.103	-47.83
171.478	-57.1
172.025	-65.83
172.05	-63.5
172.692	-67.39
173.421	-59.7
173.442	-64.94
173.698	-63.69
174.287	-61.58
174.501	-32.39
175.122	-63.48
175.967	-69.38
176.801	-71.46
177.058	-61.94
177.176	-59.2
177.646	-67.07
178.418	-82.39
178.481	-83.34
178.771	-86.61
179.327	-82.68
180.354	-76.36
180.686	-71.59
181.446	-72.15
182.537	-74.3
183.628	-70.75
183.735	-70.63
184.362	-70.35
184.446	-74.71
185.023	-68.42
185.516	-54.22
185.723	-65.81
186.42	-59.77
187.188	-70.09
187.325	-49.82
187.81	-59.23
188.51	-65.42
189.213	-67.39
190.194	-53.75
190.377	-64.14
190.72	-47.03
191.529	-48.31
192.17	-26.55
192.694	-28.895
193.903	-39.595
194.121	-46.72
195.214	-22.46
195.456	-21.05
195.662	-44.88
195.958	-11.01
195.97	-25.55
196.886	-8.08
197.211	-4.52
197.678	-7.56
198.201	-18.99
198.202	1.41
198.346	13.72
198.457	-19.61
198.677	-2.11
199.153	-16.795
199.627	-30.93
199.755	-9.97
200.103	-27.725
200.239	-16.19
200.332	-4.59
200.578	-38.925
201.197	-45.04
201.819	-40.93
201.883	-24.57
202.373	-41.29
202.402	-11.13
202.52	-53.74
202.871	-37.85
203.262	-49.37
203.369	-34.66
203.867	-36.01
204.347	-52.79
204.441	-31.74
204.696	-35.55
205.271	-30.37
206.101	-30.41
206.885	-54.09
207.209	-26.4
208.944	-23.08
209.497	-42.77
210.884	-22.85
210.991	-37.5
213.997	-22.14
215.323	-29.96
216.159	-29
217.25	-43.61
217.705	-31.42
218.161	-39.99
218.994	-32.51
220.154	-48.64
220.206	-67.38
221.446	-68.82
221.86	-73.54
221.93	-48.04
222.439	-71.04
222.527	-71.68
222.984	-70.06
223.477	-56.35
223.645	-67.54
224.306	-64.04
224.797	-66.46
224.966	-75.76
225.17	-80.5
225.634	-71.73
225.76	-77.83
226.295	-66.81
226.955	-64.1
227.208	-61.69
227.616	-56.59
227.812	-72.76
228.185	-41.76
228.277	-66.23
228.937	-67.12
229.598	-56.64
229.773	-62.16
230.259	-53.97
230.266	-72.17
230.455	-60.27
230.92	-51.62
231.6	-38.19
231.874	-47.78
232.289	-36.58
232.972	-39.54
232.992	-32.11
233.182	-41.04
233.66	-29.295
233.744	-32.13
234.341	-23.22
234.348	-33.95
234.756	-31.11
235.03	-25.92
235.696	-13.64
235.784	-14.43
235.793	-23.76
236.047	-23.03
236.374	-9.645
