%Wael2002	LR04	Mean	Relative Sea Level
%Age	age	d18Ow	RSL
425	422.553	0.52	-61.59
426.5	424.63	0.59	-70.07
428	427.5	0.69	-81.32
429.5	430	0.82	-96.6









			

			
			
			
			
